"Gene","PubmedID","Title"
"Sparc","36895479","Editorial: The role of the bone marrow microenvironment in multiple myeloma evolution and therapy."
"Sparc","36847866","Impaired function of skeletal stem cells derived from growth plates in ovariectomized mice."
"Sparc","36830573","Oligodendrocyte Progenitors Display Enhanced Proliferation and Autophagy after Space Flight."
"Sparc","36766694","Proteoglycan SPOCK1 as a Poor Prognostic Marker Promotes Malignant Progression of Clear Cell Renal Cell Carcinoma via Triggering the Snail/Slug-MMP-2 Axis-Mediated Epithelial-to-Mesenchymal Transition."
"Sparc","36722472","Creating an atlas of the bone microenvironment during oral inflammatory-related bone disease using single-cell profiling."
"Sparc","36691370","rno-miR-90 promotes chondrogenic differentiation of bone marrow mesenchymal stem cells by targeting SPARC-related modular calcium binding 2."
"Sparc","36635516","Multiparameter single-cell proteomic technologies give new insights into the biology of ovarian tumors."
"Sparc","36633137","SPARC is a decoy counterpart for c‑Fos and is associated with osteoblastic differentiation of bone marrow stromal cells by inhibiting adipogenesis."
"Sparc","36595669","Dry eye disease in mice activates adaptive corneal epithelial regeneration distinct from constitutive renewal in homeostasis."
"Sparc","36497065","MAP4K4/JNK Signaling Pathway Stimulates Proliferation and Suppresses Apoptosis of Human Spermatogonial Stem Cells and Lower Level of MAP4K4 Is Associated with Male Infertility."
"Sparc","36415513","Investigation of key signaling pathways and appropriate diagnostic biomarkers selection between non-invasive to invasive stages in pancreatic cancer: a computational observation."
"Sparc","36354085","Transcriptomics of acute myeloid leukaemia core bone marrow biopsies reveals distinct therapy response-specific osteo-mesenchymal profiles."
"Sparc","36229930","SPARC expression in tumor microenvironment induces partial epithelial-to-mesenchymal transition of esophageal adenocarcinoma cells via cooperating with TGF-β signaling."
"Sparc","36100336","bFGF stimulated plasminogen activation factors, but inhibited alkaline phosphatase and SPARC in stem cells from apical Papilla: Involvement of MEK/ERK, TAK1 and p38 signaling."
"Sparc","36041542","Downregulation of Sparc-like protein 1 during cisplatin-induced inhibition of myogenic differentiation of C2C12 myoblasts."
"Sparc","36002574","RASA2 ablation in T cells boosts antigen sensitivity and long-term function."
"Sparc","35750052","Genome-wide CRISPR screens of T cell exhaustion identify chromatin remodeling factors that limit T cell persistence."
"Sparc","35670884","Loss of core-fucosylation of SPARC impairs collagen binding and contributes to COPD."
"Sparc","35640224","Efficacy and safety of avapritinib in previously treated patients with advanced systemic mastocytosis."
"Sparc","35480316","Global Gene Expression and Docking Profiling of COVID-19 Infection."
"Sparc","35397056","microRNA-148a in Exosomes Derived from Bone Marrow Mesenchymal Stem Cells Alleviates Cardiomyocyte Apoptosis in Atrial Fibrillation by Inhibiting SMOC2."
"Sparc","35253855","Molecular divergence of mammalian astrocyte progenitor cells at early gliogenesis."
"Sparc","35174178","Characterization of the Cellular Microenvironment and Novel Specific Biomarkers in Pterygia Using RNA Sequencing."
"Sparc","35045088","Comparative analysis of protein-protein interaction networks in metastatic breast cancer."
"Sparc","34988308","Changes in progenitors and differentiated epithelial cells of neonatal piglets."
"Sparc","34961493","Absorbance or organization into ankylosis: a microarray analysis of haemarthrosis in a sheep model of temporomandibular joint trauma."
"Sparc","34926447","Combinatorial ECM Arrays Identify Cooperative Roles for Matricellular Proteins in Enhancing the Generation of TH+ Neurons From Human Pluripotent Cells."
"Sparc","34873345","Efficacy and safety of avapritinib in advanced systemic mastocytosis: interim analysis of the phase 2 PATHFINDER trial."
"Sparc","34678408","A natural protein based platform for the delivery of Temozolomide acid to glioma cells."
"Sparc","34627425","[Screening Serum Differential Proteins in Children with Acute Promyelocytic Leukemia Based on iTRAQ Technique]."
"Sparc","34470673","Transcriptome-wide m(6)A methylome during osteogenic differentiation of human adipose-derived stem cells."
"Sparc","34323016","ADP-ribosyltransferases, an update on function and nomenclature."
"Sparc","34275329","Proteomic Signature of Dysfunctional Circulating Endothelial Colony-Forming Cells of Young Adults."
"Sparc","34272436","Engineered mucoperiosteal scaffold for cleft palate regeneration towards the non-immunogenic transplantation."
"Sparc","34248641","Unsupervised Hierarchical Clustering Identifies Immune Gene Subtypes in Gastric Cancer."
"Sparc","34230168","The Intestinal Stem Cell Marker SMOC2 Is an Independent Prognostic Marker Associated With Better Survival in Gastric Cancer."
"Sparc","34041233","Somite Compartments in Amphioxus and Its Implications on the Evolution of the Vertebrate Skeletal Tissues."
"Sparc","34036938","Phenotypic plasticity underlies local invasion and distant metastasis in colon cancer."
"Sparc","33955203","High tumor cell platelet-derived growth factor receptor beta expression is associated with shorter survival in malignant pleural epithelioid mesothelioma."
"Sparc","33907853","Mesenchymal stem cells induce tumor stroma formation and epithelial‑mesenchymal transition through SPARC expression in colorectal cancer."
"Sparc","33904394","Vascular-derived SPARC and SerpinE1 regulate interneuron tangential migration and accelerate functional maturation of human stem cell-derived interneurons."
"Sparc","33773846","Chronic Myeloid Leukemia: Modern therapies, current challenges and future directions."
"Sparc","33579227","Fibronectin mediates activation of stromal fibroblasts by SPARC in endometrial cancer cells."
"Sparc","33525064","Repression of the stress granule protein G3BP2 inhibits immune checkpoint molecule PD-L1."
"Sparc","33505617","MicroRNA-204 regulates osteogenic induction in dental follicle cells."
"Sparc","33493647","Roles of the synaptic molecules Hevin and SPARC in mouse neuromuscular junction development and repair."
"Sparc","33487117","The Effect of SPARC on the Proliferation and Migration of Limbal Epithelial Stem Cells During the Corneal Epithelial Wound Healing."
"Sparc","33262529","Correction: CRISPR/Cas9-edited NSG mice as PDX models of human leukemia to address the role of niche-derived SPARC."
"Sparc","33149936","Collagen scaffolds functionalized with triple-helical peptides support 3D HUVEC culture."
"Sparc","33096480","Intra-tumour heterogeneity of diffuse large B-cell lymphoma involves the induction of diversified stroma-tumour interfaces."
"Sparc","33069969","Ziyuglycoside II alleviates cyclophosphamide-induced leukopenia in mice via regulation of HSPC proliferation and differentiation."
"Sparc","33067534","SPARC promotes insulin secretion through down-regulation of RGS4 protein in pancreatic β cells."
"Sparc","32974613","Persistence of Drug-Resistant Leukemic Stem Cells and Impaired NK Cell Immunity in CML Patients Depend on MIR300 Antiproliferative and PP2A-Activating Functions."
"Sparc","32908163","Deficiency of the SMOC2 matricellular protein impairs bone healing and produces age-dependent bone loss."
"Sparc","32900381","Dissecting the conformation of glycans and their interactions with proteins."
"Sparc","32884102","SMOC2, an intestinal stem cell marker, is an independent prognostic marker associated with better survival in colorectal cancers."
"Sparc","32801780","The Somatic Mutation Landscape and RNA Prognostic Markers in Stomach Adenocarcinoma."
"Sparc","32747910","Injectable platelet-rich fibrin influences the behavior of gingival mesenchymal stem cells."
"Sparc","32666692","Insights into the Hematopoietic Regulatory Activities of Osteoblast by Secretomics."
"Sparc","32159142","Biomimetic hydroxyapatite/collagen composite drives bone niche recapitulation in a rabbit orthotopic model."
"Sparc","32091396","Sphingosine 1-phosphate-regulated transcriptomes in heterogenous arterial and lymphatic endothelium of the aorta."
"Sparc","31980749","A framework for advancing our understanding of cancer-associated fibroblasts."
"Sparc","31916656","Sphingosine kinases protect murine embryonic stem cells from sphingosine-induced cell cycle arrest."
"Sparc","31863654","Short Pretreatment with Calcitriol Is Far Superior to Continuous Treatment in Stimulating Proliferation and Osteogenic Differentiation of Human Adipose Stem Cells."
"Sparc","31797649","Ascorbic acid enhances bone parameter expression in human gingival mesenchymal stem cells."
"Sparc","31758052","Defective Proliferation and Osteogenic Potential with Altered Immunoregulatory phenotype of Native Bone marrow-Multipotential Stromal Cells in Atrophic Fracture Non-Union."
"Sparc","31714732","Spatially Regulated Multiphenotypic Differentiation of Stem Cells in 3D via Engineered Mechanical Gradient."
"Sparc","31644832","SPARC promotes self-renewal of limbal epithelial stem cells and ocular surface restoration through JNK and p38-MAPK signaling pathways."
"Sparc","31548362","Silencing of SPARC represses heterotopic ossification via inhibition of the MAPK signaling pathway."
"Sparc","31284704","Differentiation Potential and Tumorigenic Risk of Rat Bone Marrow Stem Cells Are Affected By Long-Term In Vitro Expansion."
"Sparc","31160442","Specific factors in blood from young but not old mice directly promote synapse formation and NMDA-receptor recruitment."
"Sparc","31159871","Effect of ectopic high expression of transcription factor OCT4 on the \"stemness\" characteristics of human bone marrow-derived mesenchymal stromal cells."
"Sparc","31152959","Osteogenic differentiation of human bone marrow-derived mesenchymal stem cells is enhanced by an aragonite scaffold."
"Sparc","31150687","Sparc, an EPS-induced gene, modulates the extracellular matrix and mitochondrial function via ILK/AMPK pathways in C2C12 cells."
"Sparc","31139014","Low expression of SPARC in gastric cancer-associated fibroblasts leads to stemness transformation and 5-fluorouracil resistance in gastric cancer."
"Sparc","31079959","Heterogeneity in the perirenal region of humans suggests presence of dormant brown adipose tissue that contains brown fat precursor cells."
"Sparc","31062076","RhoA regulates translation of the Nogo-A decoy SPARC in white matter-invading glioblastomas."
"Sparc","31052494","Expression of Musashi-1 During Osteogenic Differentiation of Oral MSC: An In Vitro Study."
"Sparc","31041810","Secreted protein acidic and rich in cysteine promotes epithelial-mesenchymal transition of hepatocellular carcinoma cells and acquisition of cancerstem cell phenotypes."
"Sparc","30992504","Monitoring tumour burden and therapeutic response through analysis of circulating tumour DNA and extracellular RNA in multiple myeloma patients."
"Sparc","30925184","Loss of miR-451a enhances SPARC production during myogenesis."
"Sparc","30857168","Effects of Oral Anticoagulant Therapy on Gene Expression in Crosstalk between Osteogenic Progenitor Cells and Endothelial Cells."
"Sparc","30804366","Pancreatic acinar differentiation is guided by differential laminin deposition."
"Sparc","30794893","Co-expression of cytokeratin and vimentin in colorectal cancer highlights a subset of tumor buds and an atypical cancer-associated stroma."
"Sparc","30594556","Targeting cancer stem cell signature gene SMOC-2 Overcomes chemoresistance and inhibits cell proliferation of endometrial carcinoma."
"Sparc","30556904","Priming integrin α5 promotes human dental pulp stem cells odontogenic differentiation due to extracellular matrix deposition and amplified extracellular matrix-receptor activity."
"Sparc","30148477","Effect of total sonicated Aggregatibacter actinomycetemcomitans fragments on gingival stem/progenitor cells."
"Sparc","30046814","Stemness and Regenerative Potential of Corneal Stromal Stem Cells and Their Secretome After Long-Term Storage: Implications for Ocular Regeneration."
"Sparc","29685993","Osteoblast differentiation of equine induced pluripotent stem cells."
"Sparc","29681511","A Glial Signature and Wnt7 Signaling Regulate Glioma-Vascular Interactions and Tumor Microenvironment."
"Sparc","29535786","Association of Glioblastoma Multiforme Stem Cell Characteristics, Differentiation, and Microglia Marker Genes with Patient Survival."
"Sparc","29508855","Enhancing cancer immunotherapy using antiangiogenics: opportunities and challenges."
"Sparc","29467240","Identification, isolation and characterization of human LGR5-positive colon adenoma cells."
"Sparc","29420632","Implication of SPARC in the modulation of the extracellular matrix and mitochondrial function in muscle cells."
"Sparc","29390924","A 4-gene expression prognostic signature might guide post-remission therapy in patients with intermediate-risk cytogenetic acute myeloid leukemia."
"Sparc","29280310","Osteogenic Stimulation of Human Adipose-Derived Mesenchymal Stem Cells Using a Fungal Metabolite That Suppresses the Polycomb Group Protein EZH2."
"Sparc","29274297","Effect of ECM2 expression on bovine skeletal muscle-derived satellite cell differentiation."
"Sparc","29209043","CRISPR/Cas9-edited NSG mice as PDX models of human leukemia to address the role of niche-derived SPARC."
"Sparc","29169175","Bufalin Inhibits Cellular Proliferation and Cancer Stem Cell-Like Phenotypes via Upregulation of MiR-203 in Glioma."
"Sparc","29113221","SPARC inhibits breast cancer bone metastasis and may be a clinical therapeutic target."
"Col1a2","36834987","Expression of Epithelial and Mesenchymal Markers in Plasmatic Extracellular Vesicles as a Diagnostic Tool for Neoplastic Processes."
"Col1a2","36822490","DNA methyltransferases inhibitor azacitidine improves the skeletal phenotype of mild osteogenesis imperfecta by reversing the impaired osteogenesis and excessive osteoclastogenesis."
"Col1a2","36734182","Identifying the dominant variant of a cis-double-variant in COL1A1 from an osteogenesis imperfecta patient and developing gene therapies."
"Col1a2","36555163","LMNA Co-Regulated Gene Expression as a Suitable Readout after Precise Gene Correction."
"Col1a2","36415513","Investigation of key signaling pathways and appropriate diagnostic biomarkers selection between non-invasive to invasive stages in pancreatic cancer: a computational observation."
"Col1a2","36044325","Integrative proteomics and phosphoproteomics profiling on osteogenic differentiation of periodontal ligament stem cell."
"Col1a2","35995334","Methylglyoxal - an advanced glycation end products (AGEs) precursor - Inhibits differentiation of human MSC-derived osteoblasts in vitro independently of receptor for AGEs (RAGE)."
"Col1a2","35660813","Generation of a non-integrated induced pluripotent stem cell line from urine cells of a Chinese osteogenesis imperfecta type I patient."
"Col1a2","35646104","Identification of a Cancer Stem Cells Signature of Head and Neck Squamous Cell Carcinoma."
"Col1a2","35614192","Comparative transcriptome profiles of human dental pulp stem cells from maxillary and mandibular teeth."
"Col1a2","35480316","Global Gene Expression and Docking Profiling of COVID-19 Infection."
"Col1a2","35360863","Identification of Prognosis Biomarkers for High-Grade Serous Ovarian Cancer Based on Stemness."
"Col1a2","35360851","Single-Cell Transcriptome Integration Analysis Reveals the Correlation Between Mesenchymal Stromal Cells and Fibroblasts."
"Col1a2","35301863","MicroRNAs Regulate TASK-1 and Are Linked to Myocardial Dilatation in Atrial Fibrillation."
"Col1a2","35223854","Circulating TGF-β Pathway in Osteogenesis Imperfecta Pediatric Patients Subjected to MSCs-Based Cell Therapy."
"Col1a2","35195802","In-vitro analysis on the potential use of dental pulp mesenchymal stem cells on arecoline-induced oral epithelial cells."
"Col1a2","35045088","Comparative analysis of protein-protein interaction networks in metastatic breast cancer."
"Col1a2","35041343","Targeting of Smad7 in Mesenchymal Cells Does Not Exacerbate Fibrosis During Experimental Chronic Pancreatitis."
"Col1a2","35014711","Paracrine Wnt signaling is necessary for prostate epithelial proliferation."
"Col1a2","34999419","Generation of a COL1A2 homozygous knockout stem cell line via CRISPR/Cas9 system."
"Col1a2","34589593","Biofabricated 3D in vitro model of fibrosis-induced abnormal hepatoblast/biliary progenitors' expansion of the developing liver."
"Col1a2","34479773","Antifibrotic effects and mechanisms of mesenchymal stem cell-derived exosomes in a systemic sclerosis mouse model: Possible contribution of miR-196b-5p."
"Col1a2","34469740","Persistent JunB activation in fibroblasts disrupts stem cell niche interactions enforcing skin aging."
"Col1a2","34300306","Restoration of Osteogenesis by CRISPR/Cas9 Genome Editing of the Mutated COL1A1 Gene in Osteogenesis Imperfecta."
"Col1a2","34249109","Case Report: A Novel COL1A1 Missense Mutation Associated With Dentineogenesis Imperfecta Type I."
